address,type,size,symbol,x-value
0x10233d50,float,4,__real@3f0a3d71,0.5400000214576721
0x10233d54,float,4,__real@3b03126f,0.0020000000949949026
0x10233d58,float,4,__real@3a83126f,0.0010000000474974513
0x10233d5c,float,4,__real@3dcccccd,0.10000000149011612
0x10233d60,float,4,__real@3e2e147b,0.17000000178813934
0x10233d64,float,4,__real@3fb33333,1.399999976158142
0x10233d68,float,4,__real@3f547ae1,0.8299999833106995
0x10233d6c,float,4,__real@3fbeb852,1.4900000095367432
0x10233d70,float,4,__real@437a0000,250.0
0x10233d74,float,4,__real@c0a00000,-5.0
0x10233d78,float,4,__real@3c343958,0.010999999940395355
0x10233d7c,float,4,__real@3be56042,0.007000000216066837
0x10233d80,float,4,__real@40f00000,7.5
0x102344b8,float,8,__real@41f0000000000000,4294967296.0
0x10234848,float,8,__real@3e7ad7f29abcaf48,1e-07
0x102354f0,float,4,__real@358637bd,9.999999974752427e-07
0x102354f4,float,4,__real@ff7fffff,-3.4028234663852886e+38
0x102354f8,float,4,__real@7f7fffff,3.4028234663852886e+38
0x102356c8,float,4,__real@461c4000,10000.0
0x102367c4,float,4,__real@3f99999a,1.2000000476837158
0x102367c8,float,4,__real@3f555555,0.8333333134651184
0x1023696c,float,4,__real@3727c5ac,9.999999747378752e-06
0x10236ee8,float,4,__real@40490fdb,3.1415927410125732
0x10236eec,float,4,__real@40c90fda,6.283185005187988
0x10236ef0,float,4,__real@3e22f984,0.1591549515724182
0x10236ef4,float,4,__real@c0490fdb,-3.1415927410125732
0x10236f10,float,4,__real@3db0b0b1,0.08627451211214066
0x10236f14,float,4,__real@3f45c5c6,0.772549033164978
0x10236f18,float,4,__real@3f018182,0.5058823823928833
0x102372cc,float,4,__real@bf000000,-0.5
0x102374d0,float,4,__real@41a00000,20.0
0x102374d4,float,4,__real@3c23d70a,0.009999999776482582
0x102376b4,float,4,__real@49742400,1000000.0
0x102376b8,float,4,__real@44000000,512.0
0x10237ae0,float,8,__real@c7efffffe0000000,-3.4028234663852886e+38
0x10237ae8,float,8,__real@47efffffe0000000,3.4028234663852886e+38
0x10237f10,float,8,__real@4059000000000000,100.0
0x10237f18,float,8,__real@4014000000000000,5.0
0x10238f68,float,8,__real@404ca5dc1a63c1f8,57.29577951308232
0x10238f70,float,8,__real@3f91df46a2529d39,0.017453292519943295
0x10238fa8,float,8,__real@3f00002000400080,3.051850947599719e-05
0x10238fc0,float,8,__real@400921fb54442d18,3.141592653589793
0x102395b8,float,8,__real@3f50000000000000,0.0009765625
0x10239d48,float,4,__real@45000000,2048.0
0x1023a07c,float,4,__real@40e00000,7.0
0x1023a0e0,float,4,__real@44160000,600.0
0x1023a0e4,float,4,__real@44480000,800.0
0x1023a0f8,float,4,__real@3fc90fdb,1.5707963705062866
0x1023a0fc,float,4,__real@447a0000,1000.0
0x1023a100,float,4,__real@43c80000,400.0
0x1023a104,float,4,__real@bfc90fdb,-1.5707963705062866
0x1023a1cc,float,4,__real@3e800000,0.25
0x1023a1d0,float,4,__real@3f490fdb,0.7853981852531433
0x1023a3b4,float,4,__real@40a00000,5.0
0x1023a3b8,float,4,__real@3f860a92,1.0471975803375244
0x1023a3bc,float,4,__real@3fa00000,1.25
0x1023a48c,float,4,__real@3f8ccccd,1.100000023841858
0x1023a490,float,4,__real@3f1c61aa,0.6108652353286743
0x1023a498,float,8,__real@3fee666666666666,0.95
0x1023a568,float,4,__real@3ea2f983,0.31830987334251404
0x1023a570,float,8,__real@bfde28c740000000,-0.471238911151886
0x1023a578,float,8,__real@3fde28c740000000,0.471238911151886
0x1023a580,float,4,__real@bfa0d97c,-1.2566370964050293
0x1023a584,float,4,__real@bf666666,-0.8999999761581421
0x1023a588,float,4,__real@3fa0d97c,1.2566370964050293
0x1023a64c,float,4,__real@60ad78ec,1.0000000200408773e+20
0x1023a650,float,4,__real@38800100,6.103701889514923e-05
0x1023c3d8,float,8,__real@4000000000000000,2.0
0x1023c548,float,4,__real@c3fa0000,-500.0
0x1023c5b0,float,4,__real@3f19999a,0.6000000238418579
0x1023c5b4,float,4,__real@3f59999a,0.8500000238418579
0x1023c5c8,float,4,__real@41c00000,24.0
0x1023c5cc,float,4,__real@41f00000,30.0
0x1023c5d0,float,4,__real@3faa3d71,1.3300000429153442
0x1023c5d4,float,4,__real@42960000,75.0
0x1023c808,float,4,__real@3f8147ae,1.0099999904632568
0x1023db84,float,4,__real@3d0efa35,0.03490658476948738
0x1023f0f8,float,4,__real@4479c000,999.0
0x1023f830,float,4,__real@c9742400,-1000000.0
0x1023f834,float,4,__real@bf99999a,-1.2000000476837158
0x1023f838,float,4,__real@3cc90fda,0.02454369142651558
