address,size,type,symbol
0x10004360,0xa0,library,??$_Uninit_fill_n@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@IV12@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@YAXPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@IABV10@AAV?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@0@U_Nonscalar_ptr_iterator_tag@0@U_Range_checked_iterator_tag@0@@Z
0x10004400,0x58,library,??$_Move_backward_opt@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PAV12@@std@@YAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PAV10@00Urandom_access_iterator_tag@0@U_Swap_move_tag@0@U_Range_checked_iterator_tag@0@@Z
0x10004620,0xd6,library,??$_Uninit_move@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PAV12@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@YAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PAV10@00AAV?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@0@U_Swap_move_tag@0@U_Range_checked_iterator_tag@0@@Z
0x10004b60,0x2e,library,??$throw_exception@Vbad_function_call@boost@@@boost@@YAXABVbad_function_call@0@@Z
0x10004b90,0x19,library,??0bad_function_call@boost@@QAE@ABV01@@Z
0x10004bc0,0x65,library,??0runtime_error@std@@QAE@ABV01@@Z
0x10004c30,0x30,library,??_Ebad_function_call@boost@@UAEPAXI@Z
0x10004c60,0x99,library,?AtlCrtErrorCheck@ATL@@YAHH@Z
0x10004ec0,0xaa,library,??0?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAE@PBD@Z
0x10004f70,0x75,library,?AtlFindStringResourceInstance@ATL@@YAPAUHINSTANCE__@@IG@Z
