address,type,x-text
0x1022ed00,string,Reset
0x1022ed20,string,'%s' is not a valid Service name
0x1022ed50,string,service
0x1022ed58,string,GetService
0x1022f1bc,string,PhysicalCharacter
0x1022f1d0,string,Model
0x1022f204,string,ModelInPrimary
0x1022f214,string,PrimaryPart
0x1022f220,string,BreakJoints
0x1022f22c,string,MakeJoints
0x1022f238,string,move
0x1022f240,string,location
0x1022f24c,string,MoveTo
0x1022f260,string,_ds.png
0x1022f268,string,_dn.png
0x1022f270,string,_ovr.png
0x1022f27c,string,.png
0x1022f284,string,Textures/
0x1022f51c,string,Selection
0x1022f528,string,Get
0x1022f52c,string,Set
0x1022f530,string,selection
0x1022f548,string,The current security context cannot perform the requested operation
0x1022f58c,string,The current security context cannot %s
0x1022f5b4,string,ThreadRef
0x1022f5c0,string,__index
0x1022f68c,string,invalid vector<T> subscript
0x1022f8d8,string,Signal
0x1022f8e0,string,delay function requires 2 arguments
0x1022f904,string,'tostring' must return a string to 'print'
0x1022f930,string,
0x1022f934,string,tostring
0x1022f968,string,__unm
0x1022f970,string,__div
0x1022f978,string,__mul
0x1022f980,string,__sub
0x1022f988,string,__add
0x1022f990,string,__tostring
0x1022f99c,string,__eq
0x1022f9a4,string,__gc
0x1022f9ac,string,__newindex
0x1022f9b8,string,inverse
0x1022f9c0,string,Unprotected error in call to Lua API (%s)
0x1022f9f4,string,v
0x1022f9f8,string,stack end
0x1022fa08,string,"stack %s, line %d: %s %s"
0x1022fa24,string,nSlu
0x1022fd4c,string,Stats
0x1022ffa0,string,"Script memory leaks: %d bytes, %d blocks"
0x1022ffcc,string,"Script Heap Stats: Max Size = %d bytes, Max Count = %d blocks"
0x1023000c,string,Exception thrown while cleaning up Lua: %s
0x10230038,string,Script Context
0x10230124,string,loadfile
0x10230130,string,dofile
0x10230138,string,threads
0x10230140,string,disabled
0x1023014c,string,Lua
0x10230150,string,stats
0x10230158,string,trustedThread
0x10230168,string,delay
0x10230170,string,wait
0x10230178,string,tick
0x10230180,string,print
0x10230188,string,shared
0x10230190,string,workspace
0x1023019c,string,game
0x102301a4,string,math
0x102301ac,string,Failed to create Lua state
0x102301c8,string,settings
0x102301d4,string,io
0x102301d8,string,=
0x102301dc,string,Unable to create a new thread for %s. It did not execute
0x10230218,string,Script
0x10230220,string,Unable to create a new thread
0x10230240,string,ScriptContext::execute: Unable to create a new thread
0x10230278,string,Unable to create trusted sandbox thread
0x102302a0,string,ScriptsDisabled
0x102302b0,string,State
0x1023055c,string,print('Hello world!')
0x1023083c,string,LocalScript
0x10230848,string,Source
0x10230850,string,LinkedSource
0x10230860,string,Disabled
0x10230f98,string,Workspace
0x10230fa4,string,Run Thread
0x10230fb0,string,RunService Heartbeat
0x10230fc8,string,RunService Stepped
0x10230fdc,string,DataModel Step
0x10231000,string,Points
0x10231008,string,Constraints
0x10231014,string,Bodies
0x1023101c,string,Kernel
0x10231024,string,Max Bucket Size
0x10231034,string,Hash Nodes Out
0x10231044,string,# link(p)
0x10231050,string,MaxTreeDepth
0x10231060,string,TouchingCtcts
0x10231070,string,SteppingCtcts
0x10231080,string,CtctStageCtcts
0x10231090,string,Contacts
0x1023109c,string,Joints
0x102310a4,string,Primitives
0x102310b0,string,World
0x102310b8,string,FPS
0x10231180,string,InsertContent
0x10231190,string,objects
0x10231198,string,SetPhysicsThrottleEnabled
0x102311b4,string,ZoomToExtents
0x102311c4,string,CurrentCamera
0x102311e0,string,void
0x102311f0,string,Function
0x10231214,string,[[[progress]]]
0x10231224,string,Couldn't find Exit Verb
0x1023123c,string,Exit
0x10231244,string,%s (%.3gfps)
0x10231474,string,LockPlayMode
0x10231484,string,NetworkClient
0x10231494,string,?
0x10231498,string,energyTotal
0x102314a4,string,energyConnector
0x102314b4,string,energyBody
0x102314c0,string,numPoints
0x102314cc,string,numConstraints
0x102314dc,string,numBodies
0x102314e8,string,maxBucketSize
0x102314f8,string,numHashNodes
0x10231508,string,numLinkCalls
0x10231518,string,contactPairHitRatio
0x1023152c,string,maxTreeDepth
0x1023153c,string,numTouchingContacts
0x10231550,string,numSteppingContacts
0x10231564,string,numContactsInCollisionStage
0x10231580,string,numContacts
0x1023158c,string,numJoints
0x10231598,string,numPrimitives
0x102315a8,string,GfxTime
0x102315b0,string,videoMemory
0x102315bc,string,bevels
0x102315c4,string,antiAliasing
0x102315d4,string,Shadows
0x102315dc,string,FRM
0x102315e0,string,graphicsMode
0x102315f0,string,drawId
0x102315f8,string,simDC
0x10231600,string,%.3g
0x10231608,string,timer
0x10231610,string,DataModel Loading %s
0x10231704,string,JointsService
0x10231ddc,string,Level
0x10231de4,string,rbx_httpGet
0x10231df0,string,rbx_httpPost
0x10231e00,string,get
0x10231e04,string,GetObjects
0x10231e10,string,Load
0x10231e18,string,Save
0x10231e20,string,HttpGet
0x10231e28,string,synchronous
0x10231e34,string,HttpPost
0x10231e40,string,data
0x10231e48,string,ClearContent
0x10231e58,string,SetMessage
0x10231e64,string,message
0x10231e6c,string,ClearMessage
0x10231e7c,string,SetMessageBrickCount
0x10231eb0,string,Unknown error.
0x10231ec0,string,No errors.
0x10231ecc,string,The version number of this file format is not supported.
