address,size,type,symbol,name
0x10008690,53,library,,boost::shared_ptr<RBX::DataModel>::~shared_ptr<RBX::DataModel>
0x10008e40,0x2a,library,??$throw_exception@Vbad_weak_ptr@boost@@@boost@@YAXABVbad_weak_ptr@0@@Z,
0x10009a00,0x1a,library,??0bad_weak_ptr@boost@@QAE@ABV01@@Z,
0x10009a30,0x29,library,?shared_from_this@?$enable_shared_from_this@VInstance@RBX@@@boost@@QAE?AV?$shared_ptr@VInstance@RBX@@@2@XZ,
0x10009a30,41,library,,boost::enable_shared_from_this<RBX::Instance>::shared_from_this
0x1000aac0,0x23,library,??$shared_static_cast@VDataModel@RBX@@VInstance@2@@boost@@YA?AV?$shared_ptr@VDataModel@RBX@@@0@ABV?$shared_ptr@VInstance@RBX@@@0@@Z,
0x1000aaf0,0x9c,library,??$?0VThumbnailGenerator@@VDeleter@?$Creatable@VInstance@RBX@@@RBX@@@?$shared_ptr@VThumbnailGenerator@@@boost@@QAE@PAVThumbnailGenerator@@VDeleter@?$Creatable@VInstance@RBX@@@RBX@@@Z,
0x1000ab90,0xa1,library,??$?0VLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VLighting@RBX@@@boost@@QAE@PAVLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000ab90,161,library,,"boost::shared_ptr<RBX::Lighting>::shared_ptr<RBX::Lighting><RBX::Lighting,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000ac40,0xa1,library,??$?0VRunService@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VRunService@RBX@@@boost@@QAE@PAVRunService@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000ac40,161,library,,"boost::shared_ptr<RBX::RunService>::shared_ptr<RBX::RunService><RBX::RunService,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000acf0,0xa1,library,??$?0VModelInstance@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VModelInstance@RBX@@@boost@@QAE@PAVModelInstance@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000ada0,0xa1,library,??$?0VSelection@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VSelection@RBX@@@boost@@QAE@PAVSelection@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000ada0,161,library,,"boost::shared_ptr<RBX::Selection>::shared_ptr<RBX::Selection><RBX::Selection,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000ae50,0xa1,library,??$?0VScriptContext@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VScriptContext@RBX@@@boost@@QAE@PAVScriptContext@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000ae50,161,library,,"boost::shared_ptr<RBX::ScriptContext>::shared_ptr<RBX::ScriptContext><RBX::ScriptContext,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000af00,0xa1,library,??$?0VScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VScript@RBX@@@boost@@QAE@PAVScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000af00,161,library,,"boost::shared_ptr<RBX::Script>::shared_ptr<RBX::Script><RBX::Script,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000afb0,0xa1,library,??$?0VLocalScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@?$shared_ptr@VLocalScript@RBX@@@boost@@QAE@PAVLocalScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@3@@Z,
0x1000afb0,161,library,,"boost::shared_ptr<RBX::LocalScript>::shared_ptr<RBX::LocalScript><RBX::LocalScript,RBX::Creatable<RBX::Instance>::Deleter>"
0x1000bd20,0x8f,library,??$?0PAVThumbnailGenerator@@VDeleter@?$Creatable@VInstance@RBX@@@RBX@@@shared_count@detail@boost@@QAE@PAVThumbnailGenerator@@VDeleter@?$Creatable@VInstance@RBX@@@RBX@@@Z,
0x1000bdb0,0x8f,library,??$?0PAVLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000be40,0x8f,library,??$?0PAVRunService@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVRunService@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000bed0,0x8f,library,??$?0PAVModelInstance@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVModelInstance@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000bf60,0x8f,library,??$?0PAVSelection@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVSelection@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000bff0,0x8f,library,??$?0PAVScriptContext@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVScriptContext@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000c080,0x8f,library,??$?0PAVScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000c110,0x8f,library,??$?0PAVLocalScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@1@@shared_count@detail@boost@@QAE@PAVLocalScript@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@4@@Z,
0x1000c290,0x1f,library,?dispose@?$sp_counted_impl_pd@PAVLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@2@@detail@boost@@UAEXXZ,
0x1000c2b0,0x23,library,?get_deleter@?$sp_counted_impl_pd@PAVLighting@RBX@@VDeleter@?$Creatable@VInstance@RBX@@@2@@detail@boost@@UAEPAXABVtype_info@@@Z,
0x1000c3e0,0x65,library,??$?0V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@any@boost@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x1000c560,0x59,library,??0?$holder@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@any@boost@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x1000c5c0,0x6,library,?type@?$holder@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@any@boost@@UBEABVtype_info@@XZ,
0x1000c5d0,0x6d,library,?clone@?$holder@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@any@boost@@UBEPAVplaceholder@23@XZ,
0x1000c640,0x64,library,??_E?$holder@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@any@boost@@UAEPAXI@Z,
0x1000cd00,0x6,library,?what@bad_any_cast@boost@@UBEPBDXZ,
0x1000cf80,0x35,library,??1?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@boost@@QAE@XZ,
0x1000d970,0x8,library,??1?$tokenizer@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QAE@XZ,
0x1000d980,0x59,library,??1?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QAE@XZ,
0x1000d9e0,0x7c,library,??0?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QAE@ABV01@@Z,
0x1000daf0,0x79,library,??0?$char_separator@DU?$char_traits@D@std@@@boost@@QAE@ABV01@@Z,
0x1000ff70,0x23,library,??1?$function0@W4work_result@worker_thread@RBX@@V?$allocator@Vfunction_base@boost@@@std@@@boost@@QAE@XZ,
0x1000ffa0,0xa7,library,?begin@?$tokenizer@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QBE?AV?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@2@XZ,
0x10010050,0xa2,library,?end@?$tokenizer@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QBE?AV?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@2@XZ,
0x100147a0,0x9a,library,??0?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@QAE@V?$char_separator@DU?$char_traits@D@std@@@1@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@1@Z,
0x10017880,0x5a,library,?initialize@?$token_iterator@V?$char_separator@DU?$char_traits@D@std@@@boost@@V?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@@boost@@AAEXXZ,
0x10019270,0x10d,library,??$bind@W4work_result@worker_thread@RBX@@V?$shared_ptr@Udata@ErrorUploader@@@boost@@V45@@boost@@YA?AV?$bind_t@W4work_result@worker_thread@RBX@@P6A?AW4123@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@ZV?$list1@V?$value@V?$shared_ptr@Udata@ErrorUploader@@@boost@@@_bi@boost@@@_bi@5@@_bi@0@P6A?AW4work_result@worker_thread@RBX@@V?$shared_ptr@Udata@ErrorUploader@@@0@@Z0@Z,
