address,size,type,symbol,name
0x1009b8b0,0x68,library,?append@?$Array@PAVPrimitive@RBX@@@G3D@@QAEXABQAVPrimitive@RBX@@@Z,
0x1009c810,0x12b,library,?append@?$Array@V?$shared_ptr@VPartInstance@RBX@@@boost@@@G3D@@QAEXABV?$shared_ptr@VPartInstance@RBX@@@boost@@@Z,
0x100a05b0,0x17,library,?squaredMagnitude@Vector3@G3D@@QBEMXZ,
0x100a05d0,0x37,library,?unit@Vector3@G3D@@QBE?AV12@XZ,
0x100a0610,0x5a,library,?pointToObjectSpace@CoordinateFrame@G3D@@QBE?AVVector3@2@ABV32@@Z,
0x100a5970,0x7,library,??1Plane@G3D@@UAE@XZ,
0x100a5980,0x1f,library,??_EPlane@G3D@@UAEPAXI@Z,
0x100a6790,0x68,library,?append@?$Array@PAVIRenderable@RBX@@@G3D@@QAEXABQAVIRenderable@RBX@@@Z,
0x100a6a20,0x2f,library,?unitY@Vector3@G3D@@SAABV12@XZ,
0x100a6a50,0x8f,library,?inverse@CoordinateFrame@G3D@@QBE?AV12@XZ,
0x100a6a50,143,library,,G3D::CoordinateFrame::inverse
0x100a6ae0,0x28,library,?toObjectSpace@CoordinateFrame@G3D@@QBE?AV12@ABV12@@Z,
0x100ad900,0x83,library,?toWorldSpace@CoordinateFrame@G3D@@QBE?AVVector4@2@ABV32@@Z,
0x100ad990,0x4f,library,??HCoordinateFrame@G3D@@QBE?AV01@ABVVector3@1@@Z,
0x100ad9e0,0x4f,library,??GCoordinateFrame@G3D@@QBE?AV01@ABVVector3@1@@Z,
0x100be770,0x52,library,?fromOriginAndDirection@Ray@G3D@@SA?AV12@ABVVector3@2@0@Z,
0x100be770,82,library,,G3D::Ray::fromOriginAndDirection
0x100beaf0,0x7f,library,?xyxy@Rect2D@G3D@@SA?AV12@MMMM@Z,
0x100c2500,0x91,library,?isFinite@G3D@@YA_NN@Z,
0x100c25a0,0x42,library,?direction@Vector2@G3D@@QBE?AV12@XZ,
0x100c2760,0x8,library,??1Face@Frustum@GCamera@G3D@@QAE@XZ,
0x100c2d90,0x100,library,?resize@?$Array@PBVPrimitive@RBX@@@G3D@@QAEXH_N@Z,
0x100c3280,0x45,library,??1?$Array@VFace@Frustum@GCamera@G3D@@@G3D@@QAE@XZ,
0x100c32d0,0x68,library,?append@?$Array@PBVPrimitive@RBX@@@G3D@@QAEXABQBVPrimitive@RBX@@@Z,
0x100c3620,0x64,library,??1Frustum@GCamera@G3D@@QAE@XZ,
0x100c7060,0x78,library,?corner@Rect2D@G3D@@QBE?AVVector2@2@H@Z,
