address,type,symbol
0x1025f4a8,global,?___Roblox_MessageType_map@Roblox@@3U_soapmap@@B
0x1025f4e8,global,?___Roblox_Status_entries@Roblox@@3QBU_soapmapentry@@B
0x1025f590,global,?___Roblox_Status_map@Roblox@@3U_soapmap@@B
0x1025f5d0,global,?___Roblox_LuaValue10_entries@Roblox@@3QBU_soapmapentry@@B
0x1025f678,global,?___Roblox_LuaValue10_map@Roblox@@3U_soapmap@@B
0x1025f6b8,global,?___Roblox_LuaValue9_entries@Roblox@@3QBU_soapmapentry@@B
0x1025f7d0,global,?___Roblox_LuaValue9_map@Roblox@@3U_soapmap@@B
0x1025f810,global,?___Roblox_LuaValue8_entries@Roblox@@3QBU_soapmapentry@@B
0x1025f928,global,?___Roblox_LuaValue8_map@Roblox@@3U_soapmap@@B
0x1025f968,global,?___Roblox_LuaValue7_entries@Roblox@@3QBU_soapmapentry@@B
0x1025fa80,global,?___Roblox_LuaValue7_map@Roblox@@3U_soapmap@@B
0x1025fac0,global,?___Roblox_LuaValue6_entries@Roblox@@3QBU_soapmapentry@@B
0x1025fbd8,global,?___Roblox_LuaValue6_map@Roblox@@3U_soapmap@@B
0x1025fc18,global,?___Roblox_LuaValue5_entries@Roblox@@3QBU_soapmapentry@@B
0x1025fd30,global,?___Roblox_LuaValue5_map@Roblox@@3U_soapmap@@B
0x1025fd70,global,?___Roblox_LuaValue4_entries@Roblox@@3QBU_soapmapentry@@B
0x1025fe88,global,?___Roblox_LuaValue4_map@Roblox@@3U_soapmap@@B
0x1025fec8,global,?___Roblox_LuaValue3_entries@Roblox@@3QBU_soapmapentry@@B
0x1025ffe0,global,?___Roblox_LuaValue3_map@Roblox@@3U_soapmap@@B
0x10260020,global,?___Roblox_LuaValue2_entries@Roblox@@3QBU_soapmapentry@@B
0x10260138,global,?___Roblox_LuaValue2_map@Roblox@@3U_soapmap@@B
0x10260178,global,?___Roblox_LuaValue1_entries@Roblox@@3QBU_soapmapentry@@B
0x10260290,global,?___Roblox_LuaValue1_map@Roblox@@3U_soapmap@@B
0x102602d0,global,?___Roblox_LuaArguments_entries@Roblox@@3QBU_soapmapentry@@B
0x10260378,global,?___Roblox_LuaArguments_map@Roblox@@3U_soapmap@@B
0x102603b8,global,?___Roblox_ScriptExecution_entries@Roblox@@3QBU_soapmapentry@@B
0x10260498,global,?___Roblox_ScriptExecution_map@Roblox@@3U_soapmap@@B
0x102604d8,global,?___Roblox_Strings_entries@Roblox@@3QBU_soapmapentry@@B
0x10260580,global,?___Roblox_Strings_map@Roblox@@3U_soapmap@@B
0x102605c0,global,?___Roblox_StandardOutMessage_entries@Roblox@@3QBU_soapmapentry@@B
0x102606a0,global,?___Roblox_StandardOutMessage_map@Roblox@@3U_soapmap@@B
0x102606e0,global,?___Roblox_StandardOutMessages_entries@Roblox@@3QBU_soapmapentry@@B
0x10260788,global,?___Roblox_StandardOutMessages_map@Roblox@@3U_soapmap@@B
0x102607c8,global,?___Roblox_CWebService_HelloWorld_entries@Roblox@@3QBU_soapmapentry@@B
0x10260838,global,?___Roblox_CWebService_HelloWorld_map@Roblox@@3U_soapmap@@B
0x10260874,global,?___Roblox_CWebService_HelloWorld_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x102608b0,global,?___Roblox_CWebService_GetVersion_entries@Roblox@@3QBU_soapmapentry@@B
0x10260920,global,?___Roblox_CWebService_GetVersion_map@Roblox@@3U_soapmap@@B
0x1026095c,global,?___Roblox_CWebService_GetVersion_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260998,global,?___Roblox_CWebService_GetStatus_entries@Roblox@@3QBU_soapmapentry@@B
0x10260a08,global,?___Roblox_CWebService_GetStatus_map@Roblox@@3U_soapmap@@B
0x10260a44,global,?___Roblox_CWebService_GetStatus_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260a80,global,?___Roblox_CWebService_Update_entries@Roblox@@3QBU_soapmapentry@@B
0x10260af0,global,?___Roblox_CWebService_Update_map@Roblox@@3U_soapmap@@B
0x10260b2c,global,?___Roblox_CWebService_Update_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260b68,global,?___Roblox_CWebService_BatchJob_entries@Roblox@@3QBU_soapmapentry@@B
0x10260c80,global,?___Roblox_CWebService_OpenJob_map@Roblox@@3U_soapmap@@B
0x10260cbc,global,?___Roblox_CWebService_OpenJob_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260cf8,global,?___Roblox_CWebService_TouchJob_entries@Roblox@@3QBU_soapmapentry@@B
0x10260da0,global,?___Roblox_CWebService_TouchJob_map@Roblox@@3U_soapmap@@B
0x10260ddc,global,?___Roblox_CWebService_TouchJob_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260e18,global,?___Roblox_CWebService_Execute_entries@Roblox@@3QBU_soapmapentry@@B
0x10260ef8,global,?___Roblox_CWebService_Execute_map@Roblox@@3U_soapmap@@B
0x10260f34,global,?___Roblox_CWebService_Execute_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10260f70,global,?___Roblox_CWebService_CloseJob_entries@Roblox@@3QBU_soapmapentry@@B
0x10260fe0,global,?___Roblox_CWebService_CloseJob_map@Roblox@@3U_soapmap@@B
0x1026101c,global,?___Roblox_CWebService_CloseJob_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261058,global,?___Roblox_CWebService_BatchJob_map@Roblox@@3U_soapmap@@B
0x10261094,global,?___Roblox_CWebService_BatchJob_atlsoapheader_entries@Roblox@@3QBU_soapmapentry@@B
0x102610cc,global,?___Roblox_CWebService_BatchJob_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261108,global,?___Roblox_CWebService_GetTimeout_entries@Roblox@@3QBU_soapmapentry@@B
0x102611b0,global,?___Roblox_CWebService_GetTimeout_map@Roblox@@3U_soapmap@@B
0x102611ec,global,?___Roblox_CWebService_GetTimeout_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261228,global,?___Roblox_CWebService_CloseOrphanedJobs_entries@Roblox@@3QBU_soapmapentry@@B
0x102612d0,global,?___Roblox_CWebService_CloseOrphanedJobs_map@Roblox@@3U_soapmap@@B
0x1026130c,global,?___Roblox_CWebService_CloseOrphanedJobs_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261348,global,?___Roblox_CWebService_CloseAllJobs_map@Roblox@@3U_soapmap@@B
0x10261384,global,?___Roblox_CWebService_CloseAllJobs_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x102613c0,global,?___Roblox_CWebService_CloseTimedoutJobs_entries@Roblox@@3QBU_soapmapentry@@B
0x10261430,global,?___Roblox_CWebService_CloseTimedoutJobs_map@Roblox@@3U_soapmap@@B
0x1026146c,global,?___Roblox_CWebService_CloseTimedoutJobs_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x102614a8,global,?___Roblox_CWebService_GetAllJobs_entries@Roblox@@3QBU_soapmapentry@@B
0x10261518,global,?___Roblox_CWebService_GetAllJobs_map@Roblox@@3U_soapmap@@B
0x10261554,global,?___Roblox_CWebService_GetAllJobs_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261590,global,?___Roblox_CWebService_GetStandardOutMessages_entries@Roblox@@3QBU_soapmapentry@@B
0x10261638,global,?___Roblox_CWebService_GetStandardOutMessages_map@Roblox@@3U_soapmap@@B
0x10261674,global,?___Roblox_CWebService_GetStandardOutMessages_atlsoapheader_map@Roblox@@3U_soapmap@@B
0x10261854,global,?_entries@?1??_GetEntries@?$CSoapHandler@VCWebService@Roblox@@@ATL@@SGPBU_ATL_INTMAP_ENTRY@3@XZ@4QBU43@B
