address,type,name
0x1010f600,library,luaH_set
0x1010f670,library,luaH_setnum
0x1010f760,library,luaH_getn
0x1010f9a0,library,luaH_resizearray
0x1010fc00,library,luaH_setstr
0x1010fc50,library,luaS_resize
0x1010fdb0,library,luaS_newlstr
0x1010fef0,library,luaS_newudata
0x1010ff50,library,luaF_newCclosure
0x1010ff90,library,luaF_newLclosure
0x1010fff0,library,luaF_newupval
0x10110030,library,luaF_findupval
0x101100c0,library,luaF_freeupval
0x10110100,library,luaF_close
0x101101a0,library,luaF_newproto
0x10110200,library,luaF_freeproto
0x101102a0,library,luaF_freeclosure
0x101102e0,library,luaF_getlocalname
0x10110330,library,luaZ_fill
0x10110370,library,luaZ_lookahead
0x101103d0,library,luaZ_init
0x10110400,library,luaZ_read
0x101104a0,library,luaZ_openspace
0x10110990,library,luaU_dump
0x10110a10,library,luaM_toobig
0x10110a30,library,luaM_realloc_
0x10110a80,library,luaM_growaux_
0x101138e0,library,luaY_parser
0x10114270,library,luaU_header
0x101143d0,library,luaU_undump
0x101144b0,library,luaX_init
0x10114500,library,luaX_token2str
0x10114560,library,luaX_lexerror
0x10114600,library,luaX_syntaxerror
0x10114620,library,luaX_newstring
0x10114700,library,luaX_setinput
0x10115a20,library,luaX_next
0x10115a70,library,luaX_lookahead
0x10124580,library,luaK_getlabel
0x101247c0,library,luaK_concat
0x10124810,library,luaK_checkstack
0x10124850,library,luaK_reserveregs
0x10124990,library,luaK_stringK
0x101249c0,library,luaK_numberK
0x10124a30,library,luaK_setreturns
0x10124ac0,library,luaK_setoneret
0x10124c60,library,luaK_fixline
0x10124d20,library,luaK_codeABC
0x10124d50,library,luaK_codeABx
0x10124d80,library,luaK_setlist
0x10124e20,library,luaK_nil
0x10124eb0,library,luaK_jump
0x10124ef0,library,luaK_ret
0x10124f80,library,luaK_patchtohere
0x10124fa0,library,luaK_dischargevars
0x10125330,library,luaK_exp2nextreg
0x101253b0,library,luaK_exp2anyreg
0x10125400,library,luaK_exp2val
0x10125420,library,luaK_exp2RK
0x10125520,library,luaK_storevar
0x10125610,library,luaK_self
0x10125750,library,luaK_goiftrue
0x10125950,library,luaK_indexed
0x10125ab0,library,luaK_prefix
0x10125b50,library,luaK_infix
0x10125bc0,library,luaK_posfix
0x10125e00,library,luaK_patchlist
0x10196b30,library,boost::shared_ptr<int>::~shared_ptr<int>
0x101ea310,library,boost::detail::sp_counted_impl_p<int>::get_deleter
0x10238d00,library,tab_funcs
0x10238e80,library,mathlib
0x10239030,library,strlib
0x102393c0,library,base_funcs
0x10239488,library,co_funcs
0x10239800,library,iolib
0x10239860,library,flib
