address,type,name
0x102f7144,global,sound_desc_Volume
0x102f9008,global,tag_xmlnsxmime
0x102f90fc,global,prop_ControllerFlagShown
0x102f9120,global,prop_Elasticity
0x102f913c,global,prop_PositionUi
0x102f9158,global,prop_Dragging
0x102f91c8,global,namePart
0x102f91cc,global,prop_shapeUi
0x102f9208,global,desc_join
0x102f9260,global,prop_FormFactorUi
0x102f92b8,global,nameCFrame
0x102f9318,global,namePosition
0x102f931c,global,prop_Friction
0x102f9338,global,desc_unjoin
0x102f9370,global,prop_SizeUi
0x102f93a8,global,desc_getMass
0x102f93fc,global,prop_formFactor
0x102f941c,global,prop_RotVelocity
0x102f9438,global,prop_Velocity
0x102f9604,global,propJump
0x102f9620,global,func_TakeDamage
0x102f9660,global,propWalkRotationalVelocity
0x102f96a0,global,propWalkToPart
0x102f96e4,global,propLeftLeg
0x102f9704,global,propMaxHealth
0x102f9720,global,propSit
0x102f9740,global,func_MoveTo
0x102f9788,global,propHealth
0x102f97c8,global,propTargetPoint
0x102f97e4,global,propWalkToPoint
0x102f9800,global,propWalkDirection
0x102f9840,global,propTorso
0x102f98a8,global,propRightLeg
0x102f99c0,global,func_values
0x102f99f0,global,func_value
0x102f9bf0,global,prop_ModelCoordinateFrames
0x102f9c28,global,prop_gfxcard
0x102f9c44,global,prop_ValidatingDebug
0x102f9c60,global,prop_ram
0x102f9c98,global,prop_UnalignedParts
0x102f9cb4,global,prop_shaderModel
0x102f9cd0,global,prop_PartCoordinateFrames
0x102f9d08,global,prop_assertAction
0x102f9d28,global,prop_resolution
0x102f9d44,global,prop_osPlatformId
0x102f9d60,global,prop_WorldCoordinateFrames
0x102f9d7c,global,prop_osVer
0x102f9d98,global,prop_glVendor
0x102f9db4,global,prop_cpuSpeed
0x102f9dd0,global,prop_errorReporting
0x102f9df0,global,prop_DisableEnvironmentalThrottle
0x102f9e0c,global,prop_videoMemory
0x102f9e28,global,prop_AnchoredParts
0x102f9e44,global,prop_cpu
0x102f9f80,global,prop_AutoAssignable
0x102f9f9c,global,prop_Score
0x102fa168,global,desc_Focus
0x102fa184,global,cameraSubjectProp
0x102fa1a4,global,desc_cameraType
0x102fa328,global,desc_TextureId
0x102fa344,global,desc_legacyCommand
0x102fa360,global,desc_BinType
0x102fa380,global,desc_Selected
0x102fa3a4,global,desc_legacyTextureName
0x102fa3c0,global,desc_Deselected
0x102fa498,global,prop_GripForward
0x102fa4b4,global,event_Deactivated
0x102fa4d8,global,event_Unequipped
0x102fa4fc,global,prop_GripRight
0x102fa518,global,event_Equipped
0x102fa53c,global,prop_GripUp
0x102fa558,global,prop_Grip
0x102fa574,global,prop_FrontendActivationState
0x102fa590,global,prop_BackendToolState
0x102fa5ac,global,prop_GripPos
0x102fa5c8,global,event_Activated
0x102fa694,global,percentSize
0x102fa77c,global,prop_Part1
0x102fa79c,global,prop_Part0
0x102fa7bc,global,prop_C0
0x102fa810,global,prop_C1
0x102fa8c8,global,teams_rebalanceTeamsFunction
0x102fa8f8,global,func_teams
0x102fa92c,global,prop_AttachmentUp
0x102fa948,global,prop_BackendAccoutrementState
0x102fa964,global,prop_AttachmentPos
0x102fa980,global,prop_AttachmentRight
0x102fa99c,global,prop_AttachmentPoint
0x102fa9b8,global,prop_AttachmentForward
0x102faa78,global,y90
0x102faaf0,global,z_neg
0x102fab14,global,y_neg
0x102fadec,global,propBlastRadius
0x102fb1a0,global,prop_LeftRight
0x102fb1c0,global,prop_TopBottom
0x102fb1e0,global,prop_Hole
0x102fb21c,global,prop_InOut
0x102fb23c,global,prop_FaceId
0x102fb2a4,global,event_FlagCaptured
0x102fba64,global,desc_Text
0x102fc268,global,UploadUrlFunction
0x102fc2a0,global,desc_setPing
0x102fc2e0,global,getUploadUrl
0x102fc324,global,prop_MaxItems
0x102fc340,global,func_AddItem
0x102fc4b4,global,prop_TeamColor
0x102fc860,global,desc_BackType
0x102fc880,global,desc_RightParamB
0x102fc89c,global,desc_TopSurfaceInput
0x102fc8bc,global,desc_LegacyRight
0x102fc8d4,global,desc_LegacyBottom
0x102fc8ec,global,desc_TopParamA
0x102fc908,global,desc_FrontType
0x102fc928,global,desc_BottomType
0x102fc948,global,desc_LegacyBack
0x102fc960,global,desc_BackParamA
0x102fc97c,global,desc_FrontParamA
0x102fc998,global,desc_LeftType
0x102fc9b8,global,desc_BackSurfaceInput
0x102fc9d8,global,desc_LeftParamA
0x102fc9f4,global,desc_LegacyLeft
0x102fca0c,global,desc_TopParamB
0x102fca28,global,desc_FrontParamB
