address,size,type,symbol,name
0x10010800,0x6a,library,?InitializeHandler@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x10010870,0x25,library,?CreateRequestHandler@?$IRequestHandlerImpl@VCWebService@Roblox@@@ATL@@SAHPAUIIsapiExtension@2@PAPAUIUnknown@@@Z,
0x10010e20,0x281,library,?InitializeHandler@?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x100110b0,0x6,library,?GetHandlerName@?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@UAEPBDXZ,
0x100110c0,0x2e,library,?GetFlags@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@UAEKPAK@Z,
0x100110f0,0x14,library,?InitializeChild@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@PAUIHttpRequestLookup@2@@Z,
0x10011120,0x24,library,?CreateRequestHandler@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@SAHPAUIIsapiExtension@2@PAPAUIUnknown@@@Z,
0x10011150,0x6,library,?InitRequestHandlerClass@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@SAHPAUIHttpServerContext@2@PAUIIsapiExtension@2@@Z,
0x10011160,0x5f,library,??0?$CAtlDllModuleT@VCDllMainOverride@@@ATL@@QAE@XZ,
0x100111c0,0x69,library,??1?$CAtlDllModuleT@VCDllMainOverride@@@ATL@@UAE@XZ,
0x10011230,0x19,library,?AddCommonRGSReplacements@?$CAtlModuleT@VCDllMainOverride@@@ATL@@UAEJPAUIRegistrarBase@@@Z,
0x10011250,0x20,library,?CreateRequest@?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@UAEPAUAtlServerRequest@2@XZ,
